gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,0.392532402150108,0.19321231746470036,0.3912838510743837
female,group C,some college,standard,completed,0.19433504736173118,1.425362089087336,1.3138999449015267
female,group B,master's degree,standard,none,1.581716530880369,1.7676259145380682,1.643405692696935
male,group A,associate's degree,free/reduced,none,-1.2591122210863654,-0.833579158887496,-1.5857506356980657
male,group C,some college,standard,none,0.6567955418679438,0.603928908005579,0.45718500063346534
female,group B,associate's degree,standard,none,0.32646661722064907,0.946192733456311,0.6548884493107102
male,group B,some college,free/reduced,none,-1.721572715592578,-1.791917870149546,-1.915256383493474
male,group D,high school,free/reduced,completed,-0.13599387728556347,-0.35440980325647103,-0.07002419583918786
female,group B,high school,free/reduced,none,-1.8537042854514958,-0.6282208636170568,-1.1903437383435758
male,group C,associate's degree,standard,none,-0.532388586862317,-1.0389374541579353,-1.0585414392254127
male,group D,associate's degree,standard,none,-1.721572715592578,-1.175842984338228,-1.6516517852571473
female,group B,high school,standard,none,-0.06992809235610455,0.8092872032760182,0.325382701515302
male,group A,some college,standard,completed,0.7889271117268616,0.19321231746470036,0.1276792528380571
female,group A,master's degree,standard,none,-1.0609148662979886,-1.1073902192480818,-0.6631345418709227
female,group C,some high school,standard,none,0.19433504736173118,0.39857061273513966,0.6548884493107102
male,group C,high school,standard,none,1.4495849610214508,1.3569093239971897,1.1820976457833634
female,group B,some high school,free/reduced,none,-3.1750199840406745,-2.5448982861411564,-2.640169028643372
male,group C,master's degree,free/reduced,completed,-1.3251780060158243,-1.8603706352396923,-1.4539483365799024
female,group C,associate's degree,free/reduced,none,-0.7966517265801528,-0.7651263937973496,-0.46543109319367776
male,group D,high school,standard,none,-0.0038623074266456066,-0.012145977805738905,-0.33362879407551443
female,group B,some college,free/reduced,completed,-0.06992809235610455,0.39857061273513966,0.1276792528380571
male,group D,some college,standard,none,-1.457309575874742,-1.0389374541579353,-0.9926402896663309
female,group C,some high school,standard,none,0.19433504736173118,0.2616650825548468,0.325382701515302
male,group D,bachelor's degree,free/reduced,completed,0.5246639720090258,0.12475955237455394,0.7866907484288735
male,group A,master's degree,free/reduced,none,0.45859818707956695,0.3301178476449932,0.25948155195622036
male,group B,some college,standard,none,0.19433504736173118,-1.0389374541579353,-0.8608379905481676
female,group C,bachelor's degree,standard,none,0.062203477502813326,-0.012145977805738905,0.45718500063346534
male,group C,high school,standard,none,0.26040083229119015,0.05630678728440752,-0.20182649495735114
female,group D,master's degree,standard,none,-0.26812544714448133,0.05630678728440752,0.45718500063346534
female,group D,some college,standard,none,0.19433504736173118,0.3301178476449932,0.3912838510743837
female,group B,some college,standard,none,-0.20205966221502242,-0.2859570381663246,-0.46543109319367776
female,group E,master's degree,free/reduced,none,-0.664520156721235,0.19321231746470036,-0.20182649495735114
male,group D,some college,standard,none,-1.721572715592578,-1.8603706352396923,-1.9811575330525557
male,group E,some college,standard,none,2.044177025386581,1.2200037938168968,0.9184930475470369
male,group E,associate's degree,standard,completed,0.9871244665152384,0.8092872032760182,0.7207895988697919
female,group D,associate's degree,standard,none,0.5246639720090258,0.8092872032760182,0.9843941971061185
female,group D,some high school,free/reduced,none,-1.0609148662979886,-0.35440980325647103,-0.597233392311841
female,group D,associate's degree,free/reduced,completed,0.5907297569384848,1.425362089087336,1.3138999449015267
male,group B,associate's degree,free/reduced,none,-0.598454371791776,-0.9020319239776424,-0.7290356914300044
male,group C,associate's degree,free/reduced,none,-0.7305859416506939,-0.5597680985269103,-0.9267391401072492
female,group B,associate's degree,standard,none,-0.8627175115096117,-0.7651263937973496,-0.20182649495735114
male,group B,some college,free/reduced,completed,-0.46632280193285813,-0.2859570381663246,-0.1359253453982695
female,group E,associate's degree,free/reduced,none,-1.0609148662979886,-0.9020319239776424,-0.9267391401072492
male,group B,associate's degree,standard,none,-0.06992809235610455,-1.0389374541579353,-0.7290356914300044
female,group A,associate's degree,standard,completed,-0.7305859416506939,-0.2859570381663246,-0.3995299436345961
female,group C,high school,standard,none,-0.0038623074266456066,0.12475955237455394,0.523086150192547
female,group D,associate's degree,free/reduced,completed,-0.598454371791776,0.3301178476449932,0.523086150192547
male,group C,high school,standard,completed,1.0531902514446974,1.0146454985464575,0.9184930475470369
male,group E,some college,standard,none,-0.8627175115096117,-0.9704846890677888,-1.322146037461739
male,group E,associate's degree,free/reduced,completed,0.7228613267974027,-0.012145977805738905,-0.004123046280106211
male,group C,some college,standard,none,-0.8627175115096117,-1.7234651050593994,-1.717552934816229
female,group C,some high school,free/reduced,completed,0.32646661722064907,1.0146454985464575,1.2479987953424452
female,group C,high school,free/reduced,none,-2.1840332100987903,-1.9288234003298388,-1.6516517852571473
female,group E,associate's degree,standard,completed,1.0531902514446974,1.0830982636366038,1.1820976457833634
male,group D,associate's degree,standard,none,-0.9287832964390706,-0.9704846890677888,-1.2562448879026575
male,group D,some college,standard,completed,-0.532388586862317,-0.6966736287072032,-0.6631345418709227
female,group C,some high school,free/reduced,none,-4.364204112770935,-3.571689762493353,-3.8263897207068416
male,group E,bachelor's degree,free/reduced,completed,0.8549928966563205,0.3301178476449932,0.25948155195622036
male,group A,some high school,free/reduced,none,-1.7876385005220368,-2.0657289305101316,-2.244762131288882
male,group A,associate's degree,free/reduced,none,-0.26812544714448133,-0.5597680985269103,-0.8608379905481676
female,group C,associate's degree,standard,none,0.19433504736173118,0.7408344381858718,0.19358040239713872
female,group D,some high school,standard,none,-0.46632280193285813,-0.7651263937973496,-0.597233392311841
male,group B,some high school,standard,none,0.062203477502813326,-0.35440980325647103,-0.46543109319367776
male,group D,some high school,free/reduced,none,-1.3912437909452833,-2.2026344606904247,-2.0470586826116373
female,group C,some college,standard,none,-0.4002570170033992,0.19321231746470036,0.3912838510743837
male,group B,associate's degree,free/reduced,none,-0.33419123207394025,-0.7651263937973496,-0.794936840989086
female,group C,associate's degree,standard,none,-1.7876385005220368,-0.35440980325647103,-0.7290356914300044
male,group D,some college,standard,completed,-0.20205966221502242,-0.9704846890677888,-0.33362879407551443
female,group A,associate's degree,free/reduced,none,-1.655506930663119,-1.2442957494283746,-1.322146037461739
male,group C,some high school,free/reduced,none,-0.33419123207394025,-0.833579158887496,-0.794936840989086
male,group C,some high school,standard,none,-1.1269806512274474,-1.3812012796086675,-1.7834540843753106
male,group B,associate's degree,free/reduced,none,-1.457309575874742,-1.9288234003298388,-1.9811575330525557
male,group E,some high school,standard,none,-2.382230564887167,-2.955614876682035,-3.035575925997862
male,group A,bachelor's degree,standard,completed,0.9210586815857794,0.603928908005579,0.8525918979879552
female,group D,some high school,standard,completed,-0.33419123207394025,0.3301178476449932,0.25948155195622036
female,group E,master's degree,standard,none,-0.26812544714448133,-0.08059874289588533,-0.004123046280106211
female,group B,associate's degree,standard,none,-1.2591122210863654,-1.3812012796086675,-1.1903437383435758
male,group B,high school,free/reduced,none,-1.1269806512274474,-1.6550123399692531,-1.5198494861389842
male,group A,some college,free/reduced,completed,-1.0609148662979886,-1.5181068097889603,-0.9267391401072492
male,group E,associate's degree,standard,none,0.392532402150108,-0.35440980325647103,-0.33362879407551443
male,group D,high school,free/reduced,none,-1.58944114573366,-2.0657289305101316,-2.244762131288882
female,group C,some college,standard,none,0.45859818707956695,0.7408344381858718,0.9184930475470369
female,group C,some college,free/reduced,none,0.6567955418679438,0.946192733456311,1.3138999449015267
